m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
3,2,25.2,27.2,30.4,21.7,2.0,0.2,2.0,nederlandse-antillen,curacao
3,3,25.5,27.4,30.5,22.1,5.0,0.45,5.0,nederlandse-antillen,curacao
4,1,26.0,27.7,30.5,21.7,4.0,0.35,4.0,nederlandse-antillen,curacao
4,2,26.0,27.9,30.5,22.4,5.0,0.45,4.0,nederlandse-antillen,curacao
4,3,25.9,27.9,30.7,20.6,6.0,0.55,3.0,nederlandse-antillen,curacao
5,1,26.5,28.1,30.7,23.6,3.0,0.3,10.0,nederlandse-antillen,curacao
5,2,26.5,28.1,30.9,24.6,4.0,0.35,3.0,nederlandse-antillen,curacao
5,3,26.5,28.4,31.2,22.7,6.0,0.55,6.0,nederlandse-antillen,curacao
6,1,26.9,28.8,31.5,23.1,5.0,0.47,3.0,nederlandse-antillen,curacao
6,2,26.8,28.7,31.5,23.3,8.0,0.83,12.0,nederlandse-antillen,curacao
6,3,26.9,28.7,31.5,21.3,8.0,0.77,18.0,nederlandse-antillen,curacao
7,1,26.8,28.7,31.6,21.9,7.0,0.67,5.0,nederlandse-antillen,curacao
7,2,26.9,28.8,31.5,21.7,7.0,0.67,10.0,nederlandse-antillen,curacao
7,3,26.9,28.8,31.5,21.4,7.0,0.64,3.0,nederlandse-antillen,curacao
8,1,27.2,29.3,32.3,22.1,6.0,0.57,8.0,nederlandse-antillen,curacao
8,2,27.5,29.4,32.5,20.1,5.0,0.5,3.0,nederlandse-antillen,curacao
8,3,27.3,29.5,32.4,19.9,7.0,0.61,4.0,nederlandse-antillen,curacao
9,1,27.5,29.6,32.6,20.1,6.0,0.58,4.0,nederlandse-antillen,curacao
9,2,27.5,29.9,32.9,16.9,5.0,0.47,2.0,nederlandse-antillen,curacao
9,3,27.1,29.7,32.7,16.3,8.0,0.77,14.0,nederlandse-antillen,curacao
10,1,26.7,29.2,31.8,16.2,7.0,0.67,19.0,nederlandse-antillen,curacao
10,2,27.0,29.3,32.2,17.6,8.0,0.77,11.0,nederlandse-antillen,curacao
10,3,26.5,28.9,31.5,16.9,10.0,0.88,49.0,nederlandse-antillen,curacao
11,1,26.1,28.4,31.0,15.7,10.0,1.0,76.0,nederlandse-antillen,curacao
11,2,26.0,28.1,30.8,16.0,9.0,0.93,35.0,nederlandse-antillen,curacao
11,3,26.2,28.1,30.5,17.9,10.0,1.0,28.0,nederlandse-antillen,curacao
12,1,26.0,27.7,30.2,19.0,8.0,0.77,13.0,nederlandse-antillen,curacao
12,2,25.5,27.6,30.0,20.2,8.0,0.8,6.0,nederlandse-antillen,curacao
12,3,25.5,27.3,29.8,18.9,9.0,0.85,16.0,nederlandse-antillen,curacao
